  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.82371411            0.00000000        2276.14506986       -21171.01560579       -18894.87053594 
  5.0000e-15           99.43814295            0.00000000        2267.35341263       -21153.42946107       -18886.07604843 
  1.0000e-14           98.79863380            0.00000000        2252.77155078       -21124.26099919       -18871.48944841 
  1.5000e-14           97.90795179            0.00000000        2232.46253423       -21083.63574736       -18851.17321313 
  2.0000e-14           96.77016207            0.00000000        2206.51905487       -21031.73829307       -18825.21923820 
  2.5000e-14           95.39087727            0.00000000        2175.06909018       -20968.82358042       -18793.75449024 
  3.0000e-14           93.77757027            0.00000000        2138.28303367       -20895.23118902       -18756.94815536 
  3.5000e-14           91.93994496            0.00000000        2096.38215057       -20811.40227802       -18715.02012746 
  4.0000e-14           89.89035330            0.00000000        2049.64808541       -20717.89865490       -18668.25056949 
  4.5000e-14           87.64423941            0.00000000        1998.43298980       -20615.42311293       -18616.99012313 
  5.0000e-14           85.22058295            0.00000000        1943.16963138       -20504.83976575       -18561.67013437 
  5.5000e-14           82.64230272            0.00000000        1884.38059607       -20387.19260662       -18502.81201055 
  6.0000e-14           79.93656965            0.00000000        1822.68542646       -20263.71997626       -18441.03454979 
  6.5000e-14           77.13496793            0.00000000        1758.80429346       -20135.86212220       -18377.05782874 
  7.0000e-14           74.27343556            0.00000000        1693.55664317       -20005.25871009       -18311.70206692 
  7.5000e-14           71.39191737            0.00000000        1627.85328316       -19873.73317832       -18245.87989516 
  8.0000e-14           68.53367558            0.00000000        1562.68066361       -19743.26140046       -18180.58073686 
  8.5000e-14           65.74423105            0.00000000        1499.07673451       -19615.92336970       -18116.84663519 
  9.0000e-14           63.06994980            0.00000000        1438.09871807       -19493.83854914       -18055.73983108 
  9.5000e-14           60.55634213            0.00000000        1380.78432381       -19379.08793799       -17998.30361418 
  1.0000e-13           58.24619389            0.00000000        1328.10913968       -19273.62835535       -17945.51921568 
  1.0500e-13           56.17769123            0.00000000        1280.94387276       -19179.20636349       -17898.26249073 
  1.1000e-13           54.38271762            0.00000000        1240.01551832       -19097.28008476       -17857.26456644 
  1.1500e-13           52.88548948            0.00000000        1205.87625112       -19028.95659374       -17823.08034262 
  1.2000e-13           51.70165568            0.00000000        1178.88289094       -18974.95065003       -17796.06775909 
  1.2500e-13           50.83792498            0.00000000        1159.18840869       -18935.56772101       -17776.37931232 
  1.3000e-13           50.29221986            0.00000000        1146.74543342       -18910.71118601       -17763.96575259 
  1.3500e-13           50.05429734            0.00000000        1141.32040799       -18899.91095944       -17758.59055146 
  1.4000e-13           50.10673772            0.00000000        1142.51613509       -18902.36894884       -17759.85281375 
  1.4500e-13           50.42618361            0.00000000        1149.80002741       -18917.01591653       -17767.21588912 
  1.5000e-13           50.98471117            0.00000000        1162.53537566       -18942.57433133       -17780.03895567 
  1.5500e-13           51.75122949            0.00000000        1180.01325545       -18977.62243017       -17797.60917472 
  1.6000e-13           52.69282440            0.00000000        1201.48317007       -19020.65567874       -17819.17250868 
  1.6500e-13           53.77598673            0.00000000        1226.18105503       -19070.14288796       -17843.96183294 
  1.7000e-13           54.96768632            0.00000000        1253.35376804       -19124.57524506       -17871.22147702 
  1.7500e-13           56.23627198            0.00000000        1282.27961033       -19182.50736449       -17900.22775416 
  1.8000e-13           57.55219196            0.00000000        1312.28475287       -19242.59011879       -17930.30536592 
  1.8500e-13           58.88853945            0.00000000        1342.75567620       -19303.59547764       -17960.83980144 
  1.9000e-13           60.22143489            0.00000000        1373.14788727       -19364.43389032       -17991.28600305 
  1.9500e-13           61.53026058            0.00000000        1402.99126830       -19424.16492763       -18021.17365933 
  2.0000e-13           62.79776518            0.00000000        1431.89246054       -19482.00199221       -18050.10953167 
  2.0500e-13           64.01005678            0.00000000        1459.53470553       -19537.31194447       -18077.77723894 
  2.1000e-13           65.15650315            0.00000000        1485.67557071       -19589.61049848       -18103.93492776 
  2.1500e-13           66.22955777            0.00000000        1510.14298293       -19638.55423527       -18128.41125234 
  2.2000e-13           67.22452983            0.00000000        1532.82998448       -19683.93006358       -18151.10007910 
  2.2500e-13           68.13931581            0.00000000        1553.68861142       -19725.64292837       -18171.95431695 
  2.3000e-13           68.97410894            0.00000000        1572.72326951       -19763.70251980       -18190.97925029 
  2.3500e-13           69.73110147            0.00000000        1589.98394575       -19798.20966020       -18208.22571446 
  2.4000e-13           70.41419221            0.00000000        1605.55953946       -19829.34294000       -18223.78340055 
  2.4500e-13           71.02870864            0.00000000        1619.57152603       -19857.34603026       -18237.77450423 
  2.5000e-13           71.58114914            0.00000000        1632.16807927       -19882.51592565       -18250.34784637 
  2.5500e-13           72.07894665            0.00000000        1643.51868211       -19905.19217705       -18261.67349494 
  2.6000e-13           72.53025084            0.00000000        1653.80916103       -19925.74698209       -18271.93782105 
  2.6500e-13           72.94372286            0.00000000        1663.23700389       -19944.57584786       -18281.33884397 
  2.7000e-13           73.32833445            0.00000000        1672.00678143       -19962.08845960       -18290.08167817 
  2.7500e-13           73.69316441            0.00000000        1680.32550530       -19978.69941260       -18298.37390730 
  2.8000e-13           74.04718788            0.00000000        1688.39782359       -19994.81860304       -18306.42077945 
  2.8500e-13           74.39905924            0.00000000        1696.42106999       -20010.84130657       -18314.42023658 
  2.9000e-13           74.75689517            0.00000000        1704.58031841       -20027.13825043       -18322.55793202 
  2.9500e-13           75.12807004            0.00000000        1713.04371677       -20044.04623330       -18331.00251653 
